Date,Gazole,Super SP95,Super SP95-E10,Super SP98,Superéthanol E85,GPLc,Gazole,Super SP95,Super SP95-E10,Super SP98,Superéthanol E85,GPLc,
2020-01-03 00:00:00,0.6277,0.5891,0.5937,0.6426,0.4437,0.5996,1.4841,1.5365,1.5186,1.6006,0.6744,0.858,
2020-01-10 00:00:00,0.6333,0.599,0.6012,0.6501,0.4438,0.5955,1.4908,1.5483,1.5276,1.6097,0.6746,0.8531,
2020-01-17 00:00:00,0.6235,0.5921,0.5933,0.6436,0.4443,0.5924,1.4791,1.5401,1.5181,1.6019,0.6752,0.8494,
2020-01-24 00:00:00,0.6105,0.5873,0.5877,0.6369,0.4456,0.5942,1.4635,1.5343,1.5114,1.5938,0.6767,0.8515,
2020-01-31 00:00:00,0.5862,0.5721,0.571,0.6233,0.4455,0.5982,1.4343,1.516,1.4914,1.5775,0.6765,0.8564,
2020-02-07 00:00:00,0.5599,0.5578,0.5554,0.6091,0.4484,0.5971,1.4028,1.4989,1.4727,1.5604,0.68,0.855,
2020-02-14 00:00:00,0.5575,0.5543,0.5531,0.6056,0.4444,0.5993,1.3999,1.4948,1.4698,1.5563,0.6753,0.8576,
2020-02-21 00:00:00,0.5576,0.5495,0.5521,0.6021,0.4402,0.5979,1.4,1.4889,1.4687,1.552,0.6702,0.8559,
2020-02-28 00:00:00,0.5505,0.5491,0.5519,0.6032,0.439,0.5977,1.3915,1.4885,1.4685,1.5534,0.6688,0.8557,
2020-03-06 00:00:00,0.5253,0.5245,0.5268,0.58,0.4419,0.5938,1.3613,1.4589,1.4383,1.5256,0.6722,0.851,
2020-03-13 00:00:00,0.4752,0.4791,0.481,0.5378,0.4382,0.5915,1.3012,1.4044,1.3833,1.4749,0.6679,0.8483,
2020-03-20 00:00:00,0.4383,0.4202,0.4277,0.4842,0.4372,0.5922,1.2569,1.3338,1.3194,1.4106,0.6666,0.8491,
2020-03-27 00:00:00,0.4234,0.396,0.4021,0.4558,0.4375,0.5929,1.239,1.3048,1.2887,1.3766,0.6669,0.8499,
2020-04-03 00:00:00,0.4168,0.3821,0.3886,0.4406,0.435,0.5911,1.231,1.2881,1.2725,1.3583,0.664,0.8477,
2020-04-10 00:00:00,0.4095,0.3704,0.3788,0.4303,0.4356,0.5914,1.2223,1.274,1.2607,1.3459,0.6647,0.8481,
2020-04-17 00:00:00,0.4019,0.3605,0.371,0.4222,0.4341,0.5863,1.2132,1.2621,1.2514,1.3362,0.6629,0.842,
2020-04-24 00:00:00,0.386,0.3463,0.3569,0.4058,0.434,0.5846,1.1941,1.2451,1.2344,1.3165,0.6628,0.84,
2020-05-01 00:00:00,0.3628,0.3334,0.343,0.3904,0.4323,0.5845,1.1663,1.2296,1.2178,1.298,0.6607,0.8399,
2020-05-08 00:00:00,0.3582,0.3339,0.341,0.3866,0.432,0.5826,1.1608,1.2303,1.2153,1.2935,0.6604,0.8376,
2020-05-15 00:00:00,0.3557,0.3455,0.3472,0.3921,0.4284,0.5802,1.1578,1.2442,1.2227,1.3001,0.656,0.8348,
2020-05-22 00:00:00,0.3716,0.3657,0.3687,0.4107,0.4297,0.5831,1.1768,1.2684,1.2486,1.3224,0.6576,0.8382,
2020-05-29 00:00:00,0.3787,0.3776,0.3837,0.4251,0.4336,0.5799,1.1854,1.2827,1.2666,1.3396,0.6623,0.8344,
2020-06-05 00:00:00,0.3834,0.3826,0.3877,0.4287,0.4332,0.5806,1.191,1.2886,1.2714,1.3441,0.6618,0.8352,
2020-06-12 00:00:00,0.3985,0.4025,0.4085,0.4497,0.4314,0.5807,1.2092,1.3125,1.2964,1.3692,0.6597,0.8353,
2020-06-19 00:00:00,0.4043,0.4071,0.4147,0.4559,0.4283,0.5849,1.2161,1.3181,1.3038,1.3766,0.6559,0.8403,
2020-06-26 00:00:00,0.4162,0.4245,0.4305,0.4721,0.4294,0.585,1.2303,1.3389,1.3227,1.396,0.6573,0.8405,
2020-07-03 00:00:00,0.4141,0.4168,0.4272,0.4681,0.4279,0.5876,1.2278,1.3298,1.3189,1.3913,0.6555,0.8436,
2020-07-10 00:00:00,0.4259,0.4288,0.4394,0.4809,0.4256,0.5942,1.242,1.3441,1.3334,1.4066,0.6527,0.8515,
2020-07-17 00:00:00,0.4281,0.4324,0.4429,0.485,0.4311,0.5956,1.2446,1.3485,1.3377,1.4115,0.6592,0.8532,
2020-07-24 00:00:00,0.4304,0.4301,0.4419,0.485,0.4304,0.5952,1.2474,1.3457,1.3365,1.4116,0.6584,0.8527,
2020-07-31 00:00:00,0.4203,0.4149,0.4293,0.4746,0.4125,0.5991,1.2353,1.3275,1.3213,1.3991,0.6369,0.8574,
2020-08-07 00:00:00,0.4212,0.4154,0.4268,0.4712,0.4279,0.5972,1.2364,1.328,1.3183,1.395,0.6555,0.8552,
2020-08-14 00:00:00,0.4215,0.4184,0.4286,0.4738,0.4266,0.5935,1.2367,1.3316,1.3205,1.3981,0.6539,0.8507,
2020-08-21 00:00:00,0.4211,0.4216,0.4317,0.4777,0.4266,0.5966,1.2362,1.3355,1.3241,1.4028,0.6538,0.8544,
2020-08-28 00:00:00,0.4141,0.4195,0.431,0.4772,0.4092,0.5937,1.2279,1.3329,1.3234,1.4022,0.633,0.8509,
2020-09-04 00:00:00,0.4067,0.419,0.4268,0.4742,0.4261,0.5864,1.219,1.3324,1.3183,1.3986,0.6532,0.8422,
2020-09-11 00:00:00,0.3988,0.4197,0.4265,0.4739,0.4252,0.5847,1.2094,1.3332,1.3179,1.3983,0.6522,0.8401,
2020-09-18 00:00:00,0.3868,0.4137,0.4202,0.4668,0.4249,0.5841,1.1951,1.3261,1.3104,1.3897,0.6519,0.8394,
2020-09-25 00:00:00,0.3864,0.4158,0.4225,0.4689,0.4246,0.5865,1.1947,1.3286,1.3132,1.3923,0.6515,0.8423,
2020-10-02 00:00:00,0.3878,0.4176,0.4202,0.4675,0.425,0.5856,1.1963,1.3307,1.3103,1.3906,0.652,0.8412,
2020-10-09 00:00:00,0.3907,0.4222,0.4247,0.4718,0.4222,0.5838,1.1998,1.3362,1.3158,1.3957,0.6485,0.8391,
2020-10-16 00:00:00,0.3974,0.4259,0.4286,0.4765,0.4225,0.5849,1.2078,1.3407,1.3205,1.4014,0.6489,0.8403,
2020-10-23 00:00:00,0.3901,0.4124,0.4176,0.4659,0.4212,0.5798,1.1991,1.3244,1.3072,1.3887,0.6474,0.8343,
2020-10-30 00:00:00,0.3965,0.4162,0.4198,0.4683,0.4173,0.5879,1.2067,1.329,1.31,1.3916,0.6428,0.844,
2020-11-06 00:00:00,0.3882,0.4084,0.4125,0.4608,0.423,0.587,1.1968,1.3197,1.3012,1.3825,0.6496,0.8429,
2020-11-13 00:00:00,0.401,0.412,0.4198,0.4672,0.4227,0.5841,1.2121,1.324,1.31,1.3903,0.6492,0.8394,
2020-11-20 00:00:00,0.4059,0.4164,0.4222,0.4712,0.423,0.5827,1.218,1.3293,1.3128,1.3949,0.6495,0.8377,
2020-11-27 00:00:00,0.4228,0.4244,0.4304,0.4771,0.4231,0.5816,1.2383,1.3388,1.3227,1.4021,0.6497,0.8364,
2020-12-04 00:00:00,0.4297,0.43,0.4357,0.4822,0.4211,0.58,1.2465,1.3455,1.329,1.4082,0.6472,0.8345,
2020-12-11 00:00:00,0.4348,0.4338,0.4362,0.4822,0.4183,0.582,1.2527,1.3501,1.3296,1.4081,0.6439,0.8368,
2020-12-18 00:00:00,0.4421,0.4403,0.4429,0.488,0.4163,0.5777,1.2615,1.3579,1.3377,1.4152,0.6416,0.8317,
2020-12-25 00:00:00,0.447,0.4438,0.4475,0.4928,0.4206,0.5811,1.2673,1.3622,1.3432,1.421,0.6466,0.8358,
2021-01-01 00:00:00,0.4537,0.4497,0.4564,0.4997,0.4248,0.5847,1.2754,1.3693,1.3537,1.4292,0.6517,0.8401,
2021-01-08 00:00:00,0.4624,0.467,0.4718,0.5134,0.428,0.5811,1.2858,1.3899,1.3722,1.4456,0.6556,0.8359,
2021-01-15 00:00:00,0.4812,0.49,0.4959,0.5351,0.4297,0.5801,1.3084,1.4175,1.4011,1.4717,0.6576,0.8346,
2021-01-22 00:00:00,0.4864,0.4962,0.5005,0.5408,0.4313,0.5791,1.3146,1.425,1.4067,1.4786,0.6595,0.8335,
2021-01-29 00:00:00,0.4855,0.4964,0.5003,0.5413,0.4321,0.58,1.3135,1.4252,1.4064,1.4791,0.6605,0.8344,
2021-02-05 00:00:00,0.4936,0.5042,0.506,0.5477,0.4316,0.5784,1.3232,1.4346,1.4133,1.4869,0.6599,0.8326,
2021-02-12 00:00:00,0.5089,0.513,0.5178,0.56,0.4341,0.5791,1.3416,1.4451,1.4274,1.5016,0.6629,0.8334,
2021-02-19 00:00:00,0.5257,0.5297,0.5333,0.576,0.4364,0.5808,1.3617,1.4652,1.446,1.5208,0.6656,0.8354,
2021-02-26 00:00:00,0.535,0.5425,0.5446,0.588,0.4396,0.5822,1.373,1.4806,1.4596,1.5351,0.6694,0.8372,
2021-03-05 00:00:00,0.5374,0.5507,0.5542,0.5993,0.4405,0.5829,1.3758,1.4904,1.471,1.5487,0.6706,0.838,
2021-03-12 00:00:00,0.5495,0.5668,0.5699,0.6157,0.4407,0.5829,1.3903,1.5097,1.49,1.5684,0.6707,0.838,
2021-03-19 00:00:00,0.5517,0.5768,0.5792,0.6264,0.4403,0.5864,1.393,1.5217,1.501,1.5812,0.6704,0.8421,
2021-03-26 00:00:00,0.5392,0.569,0.5717,0.6208,0.4391,0.5841,1.3779,1.5124,1.4921,1.5745,0.6689,0.8393,
2021-04-02 00:00:00,0.536,0.5713,0.5735,0.622,0.4388,0.583,1.3742,1.5151,1.4942,1.576,0.6685,0.8381,
2021-04-09 00:00:00,0.5321,0.5706,0.573,0.6224,0.4391,0.5847,1.3694,1.5143,1.4936,1.5764,0.6689,0.8402,
2021-04-16 00:00:00,0.5341,0.5723,0.5742,0.6235,0.4418,0.5843,1.3718,1.5163,1.4951,1.5777,0.6721,0.8396,
2021-04-23 00:00:00,0.5398,0.576,0.579,0.6276,0.4423,0.5877,1.3786,1.5208,1.5009,1.5827,0.6727,0.8437,
2021-04-30 00:00:00,0.5388,0.5726,0.5754,0.6241,0.441,0.5836,1.3775,1.5166,1.4965,1.5785,0.6711,0.8387,
2021-05-07 00:00:00,0.5503,0.5843,0.5854,0.6339,0.4433,0.585,1.3913,1.5307,1.5085,1.5903,0.674,0.8405,
2021-05-14 00:00:00,0.5483,0.5782,0.5818,0.6315,0.4382,0.5864,1.3889,1.5234,1.5042,1.5874,0.6678,0.8422,
2021-05-21 00:00:00,0.5503,0.578,0.581,0.6317,0.4417,0.5876,1.3913,1.5232,1.5033,1.5876,0.672,0.8436,
2021-05-28 00:00:00,0.5505,0.576,0.5784,0.6293,0.4417,0.59,1.3915,1.5208,1.5001,1.5847,0.6719,0.8465,
2021-06-04 00:00:00,0.5594,0.5827,0.5858,0.6353,0.4413,0.5876,1.4022,1.5288,1.5091,1.5919,0.6716,0.8436,
2021-06-11 00:00:00,0.5648,0.5849,0.5878,0.6366,0.4422,0.5898,1.4087,1.5314,1.5114,1.5935,0.6726,0.8462,
2021-06-18 00:00:00,0.5737,0.5888,0.5915,0.6403,0.4438,0.5891,1.4194,1.5361,1.5158,1.5979,0.6745,0.8454,
2021-06-25 00:00:00,0.5823,0.5988,0.5998,0.6496,0.4436,0.591,1.4296,1.5481,1.5258,1.609,0.6742,0.8477,
2021-07-02 00:00:00,0.5894,0.6133,0.6125,0.6622,0.442,0.5895,1.4382,1.5655,1.5411,1.6242,0.6724,0.8459,
2021-07-09 00:00:00,0.589,0.6154,0.6155,0.6667,0.4424,0.5906,1.4377,1.568,1.5447,1.6295,0.6729,0.8472,
2021-07-16 00:00:00,0.5964,0.6287,0.6265,0.6776,0.4443,0.5943,1.4466,1.584,1.5579,1.6427,0.6751,0.8517,
2021-07-23 00:00:00,0.5918,0.6274,0.6252,0.6785,0.4454,0.594,1.4411,1.5824,1.5563,1.6437,0.6764,0.8512,
2021-07-30 00:00:00,0.5857,0.6193,0.6233,0.676,0.4345,0.6,1.4337,1.5727,1.554,1.6408,0.6633,0.8585,
2021-08-06 00:00:00,0.5925,0.6317,0.6322,0.6844,0.4468,0.6004,1.4419,1.5876,1.5647,1.6508,0.6782,0.8589,
2021-08-13 00:00:00,0.5854,0.6301,0.6305,0.6824,0.447,0.6,1.4335,1.5857,1.5627,1.6485,0.6784,0.8585,
2021-08-20 00:00:00,0.5807,0.6235,0.623,0.676,0.4451,0.6003,1.4278,1.5777,1.5537,1.6408,0.6761,0.8589,
2021-08-27 00:00:00,0.5785,0.6164,0.6157,0.6687,0.4454,0.5984,1.4252,1.5692,1.5449,1.6321,0.6765,0.8566,
2021-09-03 00:00:00,0.5821,0.6158,0.6147,0.6686,0.444,0.5963,1.4294,1.5686,1.5437,1.6318,0.6747,0.854,
2021-09-10 00:00:00,0.5923,0.6299,0.6274,0.6796,0.4439,0.5966,1.4417,1.5855,1.5589,1.6451,0.6746,0.8545,
2021-09-17 00:00:00,0.6024,0.6333,0.6323,0.6846,0.4438,0.5947,1.4537,1.5895,1.5648,1.6511,0.6746,0.8521,
2021-09-24 00:00:00,0.6125,0.6314,0.6302,0.6829,0.4437,0.5939,1.4659,1.5872,1.5622,1.6491,0.6745,0.8512,
2021-10-01 00:00:00,0.6384,0.6454,0.6437,0.6953,0.4485,0.5917,1.497,1.6041,1.5785,1.6639,0.6801,0.8485,
2021-10-08 00:00:00,0.6704,0.6697,0.6677,0.7202,0.4532,0.6042,1.5354,1.6332,1.6073,1.6937,0.6858,0.8635,
2021-10-15 00:00:00,0.6895,0.6893,0.6856,0.7399,0.4593,0.6071,1.5583,1.6567,1.6287,1.7174,0.6931,0.867,
2021-10-22 00:00:00,0.6852,0.6827,0.6802,0.7371,0.4558,0.6111,1.5531,1.6488,1.6223,1.7141,0.689,0.8717,
2021-10-29 00:00:00,0.6881,0.6917,0.6895,0.7459,0.4593,0.6138,1.5566,1.6596,1.6335,1.7247,0.6931,0.875,
2021-11-05 00:00:00,0.682,0.6942,0.6915,0.7475,0.4599,0.6192,1.5493,1.6625,1.6358,1.7266,0.6939,0.8816,
2021-11-12 00:00:00,0.689,0.6912,0.6889,0.7457,0.4615,0.6173,1.5577,1.659,1.6327,1.7244,0.6957,0.8793,
2021-11-19 00:00:00,0.6876,0.6963,0.6909,0.7481,0.467,0.6189,1.556,1.6651,1.6351,1.7273,0.7024,0.8812,
2021-11-26 00:00:00,0.6856,0.6861,0.6799,0.7368,0.4651,0.6188,1.5536,1.6529,1.6219,1.7137,0.7001,0.8811,
2021-12-03 00:00:00,0.662,0.6703,0.6604,0.7204,0.4653,0.6241,1.5253,1.634,1.5985,1.6941,0.7003,0.8874,
2021-12-10 00:00:00,0.6621,0.6687,0.6555,0.715,0.4648,0.6258,1.5255,1.632,1.5927,1.6876,0.6997,0.8894,
2021-12-17 00:00:00,0.6673,0.6709,0.6601,0.7197,0.4677,0.6262,1.5316,1.6346,1.5982,1.6932,0.7032,0.8899,
2021-12-24 00:00:00,0.6535,0.655,0.6493,0.7094,0.464,0.6273,1.5151,1.6156,1.5853,1.6808,0.6987,0.8912,
2021-12-31 00:00:00,0.6715,0.6665,0.6699,0.7289,0.465,0.6297,1.5367,1.6293,1.6099,1.7043,0.7,0.8941,
2022-01-07 00:00:00,0.7145,0.7106,0.7112,0.7629,0.5011,0.6306,1.5883,1.6823,1.6595,1.7451,0.7433,0.8952,
2022-01-14 00:00:00,0.7421,0.7311,0.7301,0.7816,0.5068,0.633,1.6214,1.7069,1.6821,1.7674,0.7502,0.8981,
2022-01-21 00:00:00,0.7693,0.7461,0.7443,0.7965,0.5082,0.6363,1.654,1.7249,1.6992,1.7854,0.7518,0.9021,
2022-01-28 00:00:00,0.7829,0.7641,0.7618,0.8144,0.5106,0.6361,1.6704,1.7464,1.7202,1.8069,0.7546,0.9018,
2022-02-04 00:00:00,0.7954,0.7798,0.7723,0.8262,0.5146,0.6358,1.6854,1.7654,1.7328,1.821,0.7595,0.9015,
2022-02-11 00:00:00,0.8072,0.7929,0.7859,0.8392,0.5147,0.638,1.6995,1.781,1.7491,1.8366,0.7596,0.904,
2022-02-18 00:00:00,0.8118,0.8024,0.7964,0.8508,0.5158,0.6375,1.7051,1.7924,1.7618,1.8505,0.7609,0.9035,
2022-02-25 00:00:00,0.8422,0.8198,0.8281,0.8767,0.5222,0.6393,1.7415,1.8133,1.7997,1.8816,0.7686,0.9056,
2022-03-04 00:00:00,0.9602,0.8828,0.8877,0.9385,0.5484,0.6525,1.8831,1.8889,1.8713,1.9558,0.8,0.9215,
2022-03-11 00:00:00,1.1748,1.0441,1.0188,1.0758,0.6555,0.6665,2.1407,2.0825,2.0286,2.1206,0.9286,0.9383,
2022-03-18 00:00:00,1.0372,0.9534,0.9395,1.0047,0.6483,0.6708,1.9755,1.9737,1.9334,2.0352,0.9199,0.9434,
2022-03-25 00:00:00,1.1546,0.9788,0.9675,1.0271,0.6488,0.6829,2.1165,2.0042,1.967,2.062,0.9206,0.958,
2022-04-01 00:00:00,0.9668,0.8357,0.8148,0.8821,0.5294,0.5535,1.891,1.8324,1.7839,1.888,0.7772,0.8026,
2022-04-08 00:00:00,0.908,0.8027,0.7798,0.8472,0.5154,0.5496,1.8205,1.7928,1.7418,1.8462,0.7605,0.7981,
2022-04-15 00:00:00,0.9006,0.7924,0.7736,0.8371,0.5078,0.5765,1.8116,1.7805,1.7343,1.834,0.7514,0.8303,
2022-04-22 00:00:00,0.9541,0.8005,0.7846,0.8461,0.5068,0.5855,1.8759,1.7902,1.7476,1.8449,0.7501,0.8411,
